rank,name,lowercase,ssa_us_count,source
2142,Trai,trai,276,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2143,Yvon,yvon,276,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2144,Sala,sala,275,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2146,Vahe,vahe,275,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2147,Caro,caro,274,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2148,Dala,dala,274,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2149,Jlyn,jlyn,274,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2150,Birt,birt,273,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2151,Blen,blen,273,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2153,Kayo,kayo,273,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2154,Brok,brok,272,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2155,Pate,pate,272,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2157,Bond,bond,271,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2159,Ebon,ebon,269,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2160,Imer,imer,269,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2161,Aimy,aimy,268,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2162,Asai,asai,268,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2164,Jony,jony,268,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2165,Onis,onis,268,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2166,Doil,doil,267,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2167,Juri,juri,267,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2168,Sael,sael,267,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2169,Xuan,xuan,267,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2170,Adis,adis,266,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2171,Chon,chon,266,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2172,Zeva,zeva,266,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2173,Safi,safi,265,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2174,Aika,aika,264,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2175,Arti,arti,264,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2177,Ndia,ndia,264,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2178,Deby,deby,263,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2179,Gabi,gabi,263,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2180,Joas,joas,263,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2181,Kino,kino,263,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2182,Sirr,sirr,263,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2183,Timo,timo,263,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2184,Tiye,tiye,263,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2185,Kayn,kayn,262,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2186,Yuji,yuji,262,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2187,Ario,ario,261,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2188,Elby,elby,261,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2189,Tove,tove,261,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2190,Geza,geza,260,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2191,Houa,houa,260,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2192,Kiko,kiko,260,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2193,Rein,rein,260,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2194,Seif,seif,259,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2195,Adom,adom,258,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2196,Bawi,bawi,258,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2198,Reia,reia,258,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2199,Zuko,zuko,258,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2200,Miro,miro,257,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2201,Numa,numa,257,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2202,Alfa,alfa,256,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2203,Mavi,mavi,256,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2205,Ulis,ulis,256,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2206,Chen,chen,255,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2208,Sola,sola,255,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2209,Zeda,zeda,255,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2210,Biff,biff,254,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2212,Okla,okla,254,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2213,Olar,olar,254,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2214,Omir,omir,254,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2215,Zaul,zaul,254,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2216,Epic,epic,253,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2217,Myan,myan,253,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2218,Zani,zani,253,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2219,Beya,beya,252,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2220,Ikia,ikia,252,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2221,Kely,kely,252,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2222,Atzi,atzi,251,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2223,Eyob,eyob,251,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2224,Malu,malu,251,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2225,Roch,roch,251,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2227,Berk,berk,250,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2228,Dyke,dyke,250,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2229,Kyce,kyce,250,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2230,Mase,mase,250,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2231,Erez,erez,249,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2232,Nili,nili,249,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2234,Kova,kova,248,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2235,Lavi,lavi,248,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2236,Mega,mega,248,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2237,Creg,creg,247,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2239,Fady,fady,247,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2240,Hunt,hunt,247,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2241,Ilea,ilea,247,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2242,Ilka,ilka,247,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2243,Isao,isao,246,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2244,Ryot,ryot,246,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2245,Avea,avea,245,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2247,Dura,dura,245,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2248,Dyna,dyna,245,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2249,Nhia,nhia,245,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2250,Burk,burk,244,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2252,Twan,twan,244,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2253,Zala,zala,244,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2254,Inas,inas,243,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2255,Koal,koal,243,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2256,Truc,truc,243,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2257,Elai,elai,242,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2258,Heru,heru,242,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2259,Jabe,jabe,242,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2260,Mazy,mazy,242,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2261,Baer,baer,241,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2262,Sira,sira,241,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2264,Bali,bali,240,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2265,Uday,uday,240,"U.S. SSA national baby-name data, 1880-2024 local mirror"
